X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_full,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
,,364515660,way,10,,hospital,,,,,66905232,,,,ee3d3fc76a724fad8a5bd324c23b0379,,,,,,,6,,2019/02/04 14:25:47,Kinondoni B Dispensary,,johanespeter9,,,,,,
35.7450360847483,-6.1807638090325,6367721885,node,10,,pharmacy,,,,,68627472,,,,b10db39aff1a4d4bb3667b20748e67b6,,,,,,,1,,2019/03/28 14:13:36,Muna pharmacy,,Barnabas Shilla,,,,,,
,,418335795,way,10,,clinic,,,,,39335502,,,,bdf5ba3aba7d45c79af68f7ebf40203f,,,,,,,1,,2016/05/15 17:25:05,Nzaga,,Lidija22,,,,,,
,,438504615,way,10,,clinic,,,,,58567425,,,,8f4575a7481c48278fa636cc5ee3a8bc,,,,,,,4,,2018/04/30 20:46:38,Mwambola Dispensary,,Paulo Martim,,,,,,
,,422403039,way,10,,clinic,,,,,39731454,,,,006efda293f04414824842d3a3627cad,,,,,,,1,,2016/06/02 11:09:46,Amani Dispensary,,lucy147,,,,,,
39.2450426662983,-6.79617495851539,3486105419,node,6,,pharmacy,,,,,30612725,,,,ae9551a94b7d445d9184a687c47ba7ce,,,,,,,1,,2015/04/29 09:47:58,,,Nason,,,,,,
33.8908616212331,-3.07178508046749,5024119631,node,10,,hospital,,,,,50969099,,,,05ef909f0e954cfd8e84d1da10c10b53,,,,,,,1,,2017/08/09 10:46:45,Mwamapalala dispensary,,Simiyu19,,,,,,
39.2888648486511,-6.81610662134781,6310699458,node,10,,clinic,,,,,67684377,,,,6dfd8f54e7044f1e9795ef2d8a8038f3,,,,,,,1,,2019/03/01 12:31:26,Eden Medical Clinic,,Asia Komba,,,,,,
,,419317083,way,10,,clinic,,,,,67843728,,,,d9ec0c32ac604f99a9c5cbafcc181bf2,,,,,,,3,,2019/03/06 13:19:26,Tindigani Dispensary,,Samwel Kyando,,,,,,
39.231798672551,-6.83476876112559,3755663477,node,6,,pharmacy,,,,,34202746,,,,89c9d813172e4249aa297a1ad52f8936,,,,,,,1,,2015/09/23 10:51:48,,,mkessy,,,,,,
39.2511830809252,-6.78578408078926,3673070197,node,10,,pharmacy,,,,,32974405,,,,d9d7c84c64fb4b7eb5e9ece3c29ca0e8,,,,,,,1,,2015/07/30 09:38:48,Mashuda Dispensary,,Mwakatobe,,,,,,
32.8492251633209,-5.01364355509025,5893039186,node,6,,pharmacy,,,,,62404933,,,,e0a280ed3f77456eae984d068fbe9bd9,,,,,,,1,,2018/09/08 15:29:01,,,HarvestAntony,,,,,,
39.2846738970643,-6.90497683939242,5312096176,node,24,,pharmacy,community,,,,57568503,,,,8535420f20354b5999358c582a272a1f,,Mo-Su 09:00-21:00,,,,,5,,2018/03/27 13:52:31,Duka La Dawa,,Immaculate Mwanja,,,,,pharmacy,private
,,571478017,way,10,,clinic,,,,,57368131,,,,fbc8de92fd354f1b9db8650925ee51a3,,,,,,,1,,2018/03/20 22:45:12,Makami Dispensary,,Paulo Martim,,,,,,
,,678274103,way,10,,clinic,,,,,68354340,,,,0cbfd6f25d604d389fbb0635d9b40a8a,,,,,,,1,,2019/03/20 21:40:32,Uchira Luth Dispensary,,Paulo Martim,,,,,,
,,378275637,way,10,,hospital,,,,,36501300,,,,ff041943105a48708d667d509dd073e7,,,,,,,10,,2016/01/11 11:40:15,Kisiwanduwi Medical Centre,,Reinier Battenberg,,,,,,
,,423852044,way,10,,clinic,,,,,39906364,,,,41d29e1acf4449c98929982a9e26395a,,,,,,,1,,2016/06/09 11:25:06,Mwanzugi Dispensary,,lucy147,,,,,,
,,411911182,way,10,,clinic,,,,,38718590,,,,39a6903d078d40f881a2d1069495afd4,,,,,,,1,,2016/04/20 06:00:54,Ilongero Health Centre,,strengthofastar,,,,,,
32.9013527220712,-2.51171226156453,4399780392,node,10,,hospital,,,,,79443224,,,,958a13e7abd0467ab04d23384dd47a46,,,,,,,2,,2020/01/11 06:06:46,nyakahoja dispensary,,pjgjordaan,,,,,,
39.2119353222294,-6.17076671311744,6771538474,node,10,,pharmacy,,,,,79811339,,,,b4d02640a1c94fbc9f07a98184172663,,,,,,,3,,2020/01/20 17:58:48,mysore pharmacy,,Guylamar2006,,,,,,
39.2608245326886,-6.79422624984659,5942961790,node,10,,pharmacy,,,,,63094269,,,,152bcb74a16c48039784598acb3511b5,,,,,,,1,,2018/10/01 13:13:23,Fahari,,Godfrey Faustine,,,,,,
,,405285256,way,10,,clinic,,,,,38017433,,,,1d432656c96c40e78a265b57e4454858,,,,,,,1,,2016/03/23 10:42:42,GESARYA Dispensary,,Sguthmuller,,,,,,
31.5801556534411,-2.00567304619349,5544302821,node,10,,hospital,,,,,57991923,,,,f52698d9aec949e19a3f36a033930668,,,,,,,1,,2018/04/11 05:13:13,Mushabwa hospital,,Mapper mubunda,,,,,,
39.2840430750315,-6.90070533771615,5295391866,node,6,,pharmacy,,,,,56183829,,,,f789b028a4504fed90600fd24b22b702,,,,,,,3,,2018/02/08 13:55:01,,,Nenglang'eti,,,,,,
35.9173106817781,-6.25091765638578,6173513959,node,17,,clinic,,,,,65896503,,,,b147338b3ad34704a4689739da880431,,,,OpenData-NBS 2014,,,1,,2018/12/30 20:07:45,Mapinduzi Dispensary,,Cyrille37,,,,,,public
33.7880018391538,-3.11249346961031,5014603146,node,10,,hospital,,,,,50841450,,,,cf600ec5608d490998796a7d4f145931,,,,,,,1,,2017/08/04 14:41:23,Zahanati ya buyubi,,Simiyu8,,,,,,
,,665274341,way,10,,clinic,,,,,66531911,,,,6f6e5474887d4456acef853244bef0f0,,,,,,,1,,2019/01/22 09:51:53,Maknesh Temboni Dispensary,,Gwau,,,,,,
39.251879952355,-6.80972874740405,4575243902,node,10,,pharmacy,,,,,46266512,,,,a2612e94c32943f0a133f5bf5f5dcd05,,,,,,,2,,2017/02/21 08:13:05,Karume Pharmacy,,kombe1207,,,,,,
,,405338637,way,10,,clinic,,,,,47079815,,,,fb57277759d54b52a53ef5d9ca464d45,,,,,,,4,,2017/03/22 21:30:33,KANGETUTYA Dispensary,,tonybendell,,,,,,
33.9020316806782,-9.47895830204541,7121548988,node,10,,clinic,,,,,79404588,,,,b778831817a64209a68ee6bc6469c13f,,,,,,,1,,2020/01/10 06:33:11,Ngamanga Dispensary,,tonny john,,,,,,
39.2323470166566,-6.83967142011079,3754969234,node,6,,pharmacy,,,,,34191876,,,,2d636046c0e449e4b53db1f308f99592,,,,,,,1,,2015/09/22 19:56:25,,,JOYCE PONGOLELA,,,,,,
34.5122220779504,-1.72629558006,4978768822,node,10,,hospital,,,,,70582334,,,,62340753fb5c4fc5b7df3641c6e37957,,,,,,,2,,2019/05/24 11:14:26,Theatre Room,,SHABANI MAGAWILA,,,,,,
,,635453662,way,10,,clinic,,,,,63627283,,,,3f51bddf16f547a59f809778ba410440,,,,,,,1,,2018/10/17 22:46:27,Kising'A Dispensary,,Paulo Martim,,,,,,
,,362752210,way,6,,pharmacy,,,,,62688171,,,,36af0717bc334403a1f57514d631a9e1,,,,,,,3,,2018/09/18 08:12:34,,,Samwel Kyando,,,,,,
33.8100647685062,-9.56010183028755,7121548996,node,10,,clinic,,,,,79404588,,,,06918dc26cb745eeaf04106d64540ee4,,,,,,,1,,2020/01/10 06:33:11,Itope Dispensary,,tonny john,,,,,,
37.6542531652996,-6.82170481065836,5777323455,node,10,,clinic,,,,,60956623,,,,30228852d90c4e9587f254fcb8ad5487,,,,,,,1,,2018/07/22 16:39:23,St.magdalena dispensary,,Morogoro13,,,,,,
38.4117273476517,-7.83801191155149,1489208459,node,6,,hospital,,,,,9718216,,,,49811a8954cc4bd889eaea087ed0add4,,,,,,,1,,2011/11/02 00:18:34,,,ulrichm,,,,,,
39.2442719503015,-6.79359702037533,1395839920,node,13,,pharmacy,,,,,63747031,,,,93ef6cce8d3f414c98f8d2021c37c923,,06:00-22:00,,,,,5,,2018/10/22 06:40:34,,,AronMartin,,,,kwetu,,
,,564472373,way,10,,clinic,,,,,56706123,,,,f66cc788a24a41a28f4760375c89015c,,,,,,,1,,2018/02/26 23:37:06,Paji Dispensary,,Paulo Martim,,,,,,
33.9605110456534,-1.76785825277423,4432547895,node,10,,clinic,,,,,44727367,,,,a3427a04086146c4afbf404b78f2ae37,,,,,,,2,,2016/12/28 10:57:32,Butiama District hospital,,sushi_klaus,,,,,,
39.2411897568666,-6.79642750525801,3486451698,node,6,,pharmacy,,,,,30616515,,,,03bc18eed5604c6bb6053f64b6ac1a99,,,,,,,1,,2015/04/29 11:58:57,,,baraka101,,,,,,
,,488799698,way,10,,clinic,,,,,48051828,,,,7d4e392bca364c48825d4288f2d7e7dc,,,,,,,1,,2017/04/23 07:09:10,Mwandiga,,Ndumiso Mazibuko,,,,,,
,,408626569,way,10,,clinic,,,,,38381761,,,,f5eb8a4cbc804f5ca388db8f88e01f5e,,,,,,,1,,2016/04/07 14:11:04,Prison Dispensary,,strengthofastar,,,,,,
,,420519800,way,10,,hospital,,,,,39532023,,,,d36101ce5f9947868b89bd19e10e0e85,,,,,,,1,,2016/05/24 12:10:23,Soweto,,spal71,,,,,,
36.6118753280517,-6.98103967702593,6150616728,node,17,,clinic,,,,,65655048,,,,12c3e0f19cf741a8b66f3643a37ce45d,,,,OpenData-NBS 2014,,,1,,2018/12/20 23:20:00,MBUGA RC Dispensary,,Cyrille37,,,,,,ngo
,,438534811,way,10,,clinic,,,,,58425312,,,,cd31ed0db52548f898e3d777904be627,,,,,,,3,,2018/04/25 22:53:17,Mwanangwa Dispensary,,Paulo Martim,,,,,,
33.4413842428482,-8.89606927215186,3152479417,node,10,,pharmacy,,,,,26363928,,,,cbd66c0980e5445c983e98aa5e631e93,,,,,,,1,,2014/10/27 13:33:57,Bhojani Chemist,,meisenmann,,,,,,
35.7436524839915,-6.17638904230913,6367722385,node,10,,pharmacy,,,,,68627472,,,,29f8e7dc4ee4415283ca6d4bb86f3c98,,,,,,,1,,2019/03/28 14:13:51,Duka la dawa  muhimu za bimadamu,,Barnabas Shilla,,,,,,
39.088711538752,-4.95743794898897,4117046219,node,10,,pharmacy,,,,,38504526,,,,27f30803b31f45f69cad11043d09d3f5,,,,,,,1,,2016/04/12 16:30:19,Mtimbwani,,firstyayyu,,,,,,
39.2642018529343,-6.79172567667283,3704505833,node,10,,pharmacy,,,,,62913788,,,,6c4c0596963b46b7aa3b08f999e2e022,,Mo-Sa 08:00-19:00,,,,,2,,2018/09/25 13:26:36,,,JAMAL AMANI,,,,,,
33.1399180311006,-9.02658992143694,6473591894,node,20,,clinic,,,,,70248473,,,,89b385bfe7cc4ef4a102ed8c559a6673,,,,OpenData-NBS 2014,,,1,,2019/05/14 18:21:27,Igale Dispensary,,Cyrille37,,,,,centre,public
39.2817923663913,-6.81831164861566,3892535144,node,6,,pharmacy,,,,,62758103,,,,ccd86f17bdbf47589559fd3c885dd76f,,,,,,,4,,2018/09/20 10:37:07,,,mueschel,,,,,,
36.4800515442802,-6.34551330103113,6153926591,node,17,,clinic,,,,,65698671,,,,cfd62a652c6b4b229e1446d90837da3a,,,,OpenData-NBS 2014,,,1,,2018/12/22 17:11:41,MWANAKIANGA TTC Dispensary,,Cyrille37,,,,,,public
,,418299353,way,10,,clinic,,,,,39331571,,,,5e059818029647b791d2a4242e46b124,,,,,,,1,,2016/05/15 13:56:48,Kazingati,,Lidija22,,,,,,
,,427006810,way,10,,clinic,,,,,44366189,,,,d724e63dc99a43dd94b16ae6617ded62,,,,,,,2,,2016/12/13 08:43:40,Mvuleni Dispensary,,Eva Blue,,,,,,
39.2736923466215,-6.83975984918928,3660097048,node,6,,pharmacy,,,,,61943440,,,,8331147839c1485d864b1916a6ccba31,,,,,,,3,,2018/08/24 07:40:08,,,DorithEliabu,,,,,,
39.2259053564296,-6.81122684495824,3658672848,node,10,,pharmacy,,,,,32749624,,,,8147b891735a4ae98f126c15940d39d0,,,,,,,1,,2015/07/20 09:41:17,,,Ramadhani Ibrahim,no,,,,,
39.2291740472102,-6.78411281311548,6406707894,node,6,,pharmacy,,,,,69722602,,,,0e56bde60c7d4778865cd2795141b853,,,,,,,2,,2019/04/30 07:39:30,,,amour_nyl,,,,,,
39.2822174965203,-6.89694186319124,5354101349,node,6,,pharmacy,,,,,56904663,,,,bfdbb3bda69844399bbce99c7cc2064b,,,,,,,2,,2018/03/05 14:03:47,,,Gwau,,,,,,
39.2486751316766,-6.75655093618613,4655833926,node,10,,hospital,,,,,45742960,,,,3ecda0bcd88344909d4e11344abae1fd,,,,,,,1,,2017/02/02 10:40:42,Baraka Plaza Hospital,,innocent maholi,,,,,,
,,631993953,way,10,,clinic,,,,,63326315,,,,85da5e46854b403bada7d12ef706b372,,,,,,,1,,2018/10/08 21:54:17,Mfukulembe Dispensary,,Paulo Martim,,,,,,
